User logged in: george,2025-06-04 09:06:30
User logged in: admin,2025-06-04 09:07:13
Logout admin: admin,2025-06-04 09:07:18
User registered: danut with role PLAYER,2025-06-04 09:07:49
User logged in: danut,2025-06-04 09:07:53
User logged in: george,2025-06-04 09:09:00
User george earned achievement: First Login,2025-06-04 09:09:00
Leaderboard viewed,2025-06-04 09:09:04
User george viewed achievements,2025-06-04 09:09:06
Logout user: george,2025-06-04 09:09:16
User registered: george with role PLAYER,2025-06-04 09:33:25
User logged in: george,2025-06-04 09:33:29
User george earned achievement: First Login,2025-06-04 09:33:29
User george viewed achievements,2025-06-04 09:33:31
Leaderboard viewed,2025-06-04 09:33:38
Game started by user: george,2025-06-04 09:33:45
User george selected topic: Geografie,2025-06-04 09:33:50
Game session created for user: george on topic: Geografie,2025-06-04 09:33:50
User george answered question: Care este capitala Romaniei? with answer: 1,2025-06-04 09:33:52
User george answered question: Care este cel mai lung fluviu din Europa? with answer: 1,2025-06-04 09:33:53
User george answered question: Care este cel mai inalt varf muntos din Romania? with answer: 2,2025-06-04 09:33:59
User george answered question: La ce mare are iesire Romania? with answer: 1,2025-06-04 09:34:10
User george answered question: Care este cel mai mare oras ca populatie din Romania? with answer: 4,2025-06-04 09:34:14
User george answered question: Care dintre urmatoarele tari se invecineaza cu Romania? with answer: 2,2025-06-04 09:34:17
User george answered question: Care este cea mai mare delta din Europa? with answer: 1,2025-06-04 09:34:22
User george answered question: In ce regiune istorica se afla orasul Brasov? with answer: 3,2025-06-04 09:34:35
User george answered question: Care este cel mai mare lac natural din Romania? with answer: 4,2025-06-04 09:34:39
User george answered question: Care este cel mai lung rau care isi are tot cursul in Romania? with answer: 4,2025-06-04 09:34:47
Score updated for user george: 6 points,2025-06-04 09:34:47
User george earned achievement: First Quiz,2025-06-04 09:34:47
User george viewed achievements,2025-06-04 09:34:51
User george viewed achievements,2025-06-04 09:35:01
Leaderboard viewed,2025-06-04 09:35:02
Logout user: george,2025-06-04 09:35:04
User logged in: george,2025-06-04 09:35:41
Game started by user: george,2025-06-04 09:35:42
User george selected topic: Matematica,2025-06-04 09:35:43
Game session created for user: george on topic: Matematica,2025-06-04 09:35:43
User george answered question: Cat face 5 + 3? with answer: 8,2025-06-04 09:35:45
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 20,2025-06-04 09:35:49
User george answered question: Ce numar urmeaza dupa 9? with answer: 10,2025-06-04 09:35:50
Score updated for user george: 0 points,2025-06-04 09:35:50
Game started by user: george,2025-06-04 09:36:07
User george selected topic: Matematica,2025-06-04 09:36:08
Game session created for user: george on topic: Matematica,2025-06-04 09:36:08
User george answered question: Cat face 5 + 3? with answer: 2,2025-06-04 09:36:11
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-04 09:36:14
User george answered question: Ce numar urmeaza dupa 9? with answer: 3,2025-06-04 09:36:16
Score updated for user george: 3 points,2025-06-04 09:36:16
User george earned achievement: Perfect Score,2025-06-04 09:36:16
Leaderboard viewed,2025-06-04 09:36:40
User george viewed achievements,2025-06-04 09:36:41
Game started by user: george,2025-06-04 09:36:43
User george selected topic: Matematica,2025-06-04 09:36:44
Game session created for user: george on topic: Matematica,2025-06-04 09:36:44
User george answered question: Cat face 5 + 3? with answer: 2,2025-06-04 09:36:46
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-04 09:36:47
User george answered question: Ce numar urmeaza dupa 9? with answer: 3,2025-06-04 09:36:49
Score updated for user george: 3 points,2025-06-04 09:36:49
User george earned achievement: Perfect Score,2025-06-04 09:36:49
User george viewed achievements,2025-06-04 09:36:53
User logged in: george,2025-06-04 09:39:19
Game started by user: george,2025-06-04 09:39:20
User george selected topic: Matematica,2025-06-04 09:39:21
Game session created for user: george on topic: Matematica,2025-06-04 09:39:21
User george answered question: Cat face 5 + 3? with answer: 2,2025-06-04 09:39:22
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-04 09:39:24
User george answered question: Ce numar urmeaza dupa 9? with answer: 3,2025-06-04 09:39:26
Score updated for user george: 3 points,2025-06-04 09:39:26
Failed login attempt for username: admin,2025-06-04 18:33:44
User registered: admin with role ADMIN,2025-06-04 18:33:47
User logged in: admin,2025-06-04 18:33:50
Admin added question to topic Matematica,2025-06-04 18:34:40
Admin deleted question from topic Matematica,2025-06-04 18:34:56
User logged in: admin,2025-06-04 19:47:19
Admin deleted question from topic Matematica,2025-06-04 19:47:29
Logout admin: admin,2025-06-04 19:47:31
User logged in: george,2025-06-04 19:47:34
Game started by user: george,2025-06-04 19:47:41
User george selected topic: Matematica,2025-06-04 19:47:42
Game session created for user: george on topic: Matematica,2025-06-04 19:47:42
User george answered question: Cat face 5 + 3? with answer: 2,2025-06-04 19:47:44
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-04 19:47:47
Score updated for user george: 2 points,2025-06-04 19:47:47
User registered: asd with role PLAYER,2025-06-04 23:13:42
User logged in: asd,2025-06-04 23:13:44
User asd earned achievement: First Login,2025-06-04 23:13:44
Leaderboard viewed,2025-06-04 23:13:48
Game started by user: asd,2025-06-04 23:13:51
User asd selected topic: Matematica,2025-06-04 23:13:53
Game session created for user: asd on topic: Matematica,2025-06-04 23:13:53
User asd answered question: Cat face 5 + 3? with answer: 2,2025-06-04 23:13:55
User asd answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-04 23:13:56
Score updated for user asd: 2 points,2025-06-04 23:13:56
User asd earned achievement: First Quiz,2025-06-04 23:13:56
User asd earned achievement: Perfect Score,2025-06-04 23:13:56
Leaderboard viewed,2025-06-04 23:13:59
User logged in: george,2025-06-05 08:15:31
Leaderboard viewed,2025-06-05 08:15:34
User logged in: admin,2025-06-05 08:40:21
Admin added topic: Biologie,2025-06-05 08:40:31
Logout admin: admin,2025-06-05 08:40:33
Failed login attempt for username: 1,2025-06-05 08:41:27
User logged in: george,2025-06-05 08:41:29
Game started by user: george,2025-06-05 08:41:32
User george selected topic: Biologie,2025-06-05 08:41:33
Game session created for user: george on topic: Biologie,2025-06-05 08:41:33
User logged in: admin,2025-06-05 09:37:28
Admin added topic: Romana,2025-06-05 09:37:39
Admin added question to topic Romana,2025-06-05 09:37:56
Admin deleted question from topic Romana,2025-06-05 09:38:09
Logout admin: admin,2025-06-05 09:38:11
User logged in: george,2025-06-05 09:38:24
Game started by user: george,2025-06-05 09:38:26
User george selected topic: Romana,2025-06-05 09:38:29
Game session created for user: george on topic: Romana,2025-06-05 09:38:29
Game started by user: george,2025-06-05 09:38:36
User george selected topic: Matematica,2025-06-05 09:38:41
Game session created for user: george on topic: Matematica,2025-06-05 09:38:41
User george answered question: Cat face 5 + 3? with answer: 2,2025-06-05 09:38:44
User george answered question: Care este rezultatul inmultirii 4 x 5? with answer: 3,2025-06-05 09:38:48
Score updated for user george: 2 points,2025-06-05 09:38:48
Leaderboard viewed,2025-06-05 09:39:17
User george viewed achievements,2025-06-05 09:39:22
Logout user: george,2025-06-05 09:40:22
User logged in: admin,2025-06-05 09:40:26
Logout admin: admin,2025-06-05 09:40:30
